ID,Name,Sheltered,Ramps,Electric,Directional
M0040,MACKENZIE ROAD A OFF STREET,0,0,0,0
M0059,MACKENZIE ROAD B OFF STREET,0,0,0,0
M0059,MACKENZIE ROAD B OFF STREET,0,0,0,0
M0059,MACKENZIE ROAD B OFF STREET,0,0,0,0
M0076,MINBU ROAD OFF STREET,0,0,0,0
M0076,MINBU ROAD OFF STREET,0,0,0,0
M0078,MARITIME SQUARE D OFF STREET,0,0,0,0
M0078,MARITIME SQUARE D OFF STREET,0,0,0,0
M0084,MARINA VIEW OFF STREET,0,0,0,0
M0084,MARINA VIEW OFF STREET,0,0,0,0
M0088,MARGARET DRIVE OFF STREET,0,0,0,0
N0006,NEIL ROAD OFF STREET,0,0,0,0
N0012,NORTH BRIDGE ROAD MARKET OFF STREET,0,0,0,0
N0012,NORTH BRIDGE ROAD MARKET OFF STREET,0,0,0,0
N0012,NORTH BRIDGE ROAD MARKET OFF STREET,0,0,0,0
N0013,NORTH BRIDGE ROAD OFF STREET,0,0,0,0
N0013,NORTH BRIDGE ROAD OFF STREET,0,0,0,0
P0013,PRINCE EDWARD ROAD - SHENTON WAY OFF STREET,0,0,0,0
P0013,PRINCE EDWARD ROAD - SHENTON WAY OFF STREET,0,0,0,0
P0048,PEARL BANK OFF STREET,0,0,0,0
P0048,PEARL BANK OFF STREET,0,0,0,0
P0054,PASIR PANJANG FOOD CENTRE OFF STREET,0,0,0,0
P0054,PASIR PANJANG FOOD CENTRE OFF STREET,0,0,0,0
P0075,PENHAS ROAD - LAVENDER STREET OFF STREET,0,0,0,0
P0093,PASIR PANJANG ROAD OFF STREET,0,0,0,0
P0093,PASIR PANJANG ROAD OFF STREET,0,0,0,0
P0094,PASIR PANJANG ROAD - SOUTH BUONA VISTA ROAD,0,0,0,0
P0094,PASIR PANJANG ROAD - SOUTH BUONA VISTA ROAD,0,0,0,0
P0096,PENANG ROAD OFF STREET,0,0,0,0
P0106,PASIR PANJANG ROAD- CLEMENTI ROAD OFF ST,0,0,0,0
P0106,PASIR PANJANG ROAD- CLEMENTI ROAD OFF ST,0,0,0,0
P0109,PASIR RIS PARK CAR PARK E OFF STREET,0,0,0,0
P0109,PASIR RIS PARK CAR PARK E OFF STREET,0,0,0,0
P0111,PAHANG STREET OFF STREET,0,0,0,0
P0113,PASIR PANJANG FOOD CENTRE (TEMP) OFF ST,0,0,0,0
P0113,PASIR PANJANG FOOD CENTRE (TEMP) OFF ST,0,0,0,0
P0117,PECK SEAH STREET OFF STREET,0,0,0,0
P0117,PECK SEAH STREET OFF STREET,0,0,0,0
Q0006,QUEEN STREET OFF STREET,0,0,0,0
Q0008,QUEENSWAY OFF STREET ( RIDEOUT TEA GARDEN),0,0,0,0
Q0008,QUEENSWAY OFF STREET ( RIDEOUT TEA GARDEN),0,0,0,0
S0020,SEMBAWANG HILLS FOOD CENTRE OFF STREET,0,0,0,0
S0020,SEMBAWANG HILLS FOOD CENTRE OFF STREET,0,0,0,0
S0049,Serangoon Rd-Lavender St Off Street,0,0,0,0
S0049,Serangoon Rd-Lavender St Off Street,0,0,0,0
S0055,SERANGOON GARDEN MARKET OFF STREET,0,0,0,0
S0106,SIN MING DRIVE OFF STREET,0,0,0,0
S0108,SHREWSBURY ROAD OFF ST REET,0,0,0,0
S0108,SHREWSBURY ROAD OFF ST REET,0,0,0,0
S0112,SEAH IM ROAD OFF STREET,0,0,0,0
S0112,SEAH IM ROAD OFF STREET,0,0,0,0
S0112,SEAH IM ROAD OFF STREET,0,0,0,0
S0150,SULTAN GATE - ALIWAL STREET OFF STREET,0,0,0,0
S0150,SULTAN GATE - ALIWAL STREET OFF STREET,0,0,0,0
S0166,SEMBAWANG RD-ADMIRALTY RD EAST OFF STREET,0,0,0,0
S0166,SEMBAWANG RD-ADMIRALTY RD EAST OFF STREET,0,0,0,0
S0171,SPOONER ROAD OFF STREET,0,0,0,0
S0171,SPOONER ROAD OFF STREET,0,0,0,0
T0017,TIONG BAHRU PARK OFF STREET,0,0,0,0
T0103,TEMBELING ROAD OFF STREET,0,0,0,0
T0103,TEMBELING ROAD OFF STREET,0,0,0,0
T0129,TANJONG KATONG COMPLEX,0,0,0,1
T0129,TANJONG KATONG COMPLEX,0,0,0,1
T0129,TANJONG KATONG COMPLEX,0,0,0,1
T0140,TANJONG KATONG ROAD OFF STREET,0,0,0,0
T0140,TANJONG KATONG ROAD OFF STREET,0,0,0,0
U0036,UPPER EAST COAST ROAD OFF STREET,0,0,0,0
U0042,UPPER CHANGI ROAD - BEDOK ROAD OFF STREET,0,0,0,0
